Series;Time;Value
direction;2018-09-02 14:46:31;135
direction;2018-09-02 14:50:31;270
direction;2018-09-02 14:54:31;270
direction;2018-09-02 14:58:31;135
direction;2018-09-02 15:02:31;270
direction;2018-09-02 15:06:31;270
direction;2018-09-02 15:12:31;270
direction;2018-09-02 15:18:31;135
direction;2018-09-02 15:24:31;135
direction;2018-09-02 15:28:31;225
direction;2018-09-02 15:32:31;270
direction;2018-09-02 15:38:31;225
direction;2018-09-02 15:44:31;225
direction;2018-09-02 15:48:31;45
direction;2018-09-02 15:52:31;270
direction;2018-09-02 15:58:31;270
direction;2018-09-02 16:02:31;270
direction;2018-09-02 16:08:31;270
direction;2018-09-02 16:12:31;135
direction;2018-09-02 16:18:31;135
direction;2018-09-02 16:24:31;270
direction;2018-09-02 16:30:31;135
direction;2018-09-02 16:34:31;270
direction;2018-09-02 16:38:31;135
direction;2018-09-02 16:42:31;90
direction;2018-09-02 16:48:31;225
direction;2018-09-02 16:54:31;225
direction;2018-09-02 16:58:31;225
direction;2018-09-02 17:02:31;225
direction;2018-09-02 17:08:31;270
direction;2018-09-02 17:14:31;270
direction;2018-09-02 17:20:31;270
direction;2018-09-02 17:24:31;135
direction;2018-09-02 17:28:31;270
direction;2018-09-02 17:32:31;135
direction;2018-09-02 17:38:31;270
direction;2018-09-02 17:44:31;270
direction;2018-09-02 17:48:31;270
direction;2018-09-02 17:54:31;135
direction;2018-09-02 17:58:31;270
direction;2018-09-02 18:02:31;225
direction;2018-09-02 18:06:31;225
direction;2018-09-02 18:10:31;225
direction;2018-09-02 18:16:31;225
direction;2018-09-02 18:20:31;270
direction;2018-09-02 18:26:31;225
direction;2018-09-02 18:30:31;180
direction;2018-09-02 18:34:31;90
direction;2018-09-02 18:40:31;180
direction;2018-09-02 18:44:31;180
direction;2018-09-02 18:50:31;180
direction;2018-09-02 18:54:31;135
direction;2018-09-02 19:00:31;270
direction;2018-09-02 19:06:31;225
direction;2018-09-02 19:10:31;135
direction;2018-09-02 19:14:31;135
direction;2018-09-02 19:18:31;135
direction;2018-09-02 19:22:31;270
direction;2018-09-02 19:28:31;225
direction;2018-09-02 19:34:31;135
direction;2018-09-02 19:40:31;225
direction;2018-09-02 19:44:31;225
direction;2018-09-02 19:50:31;225
direction;2018-09-02 19:54:31;225
direction;2018-09-02 19:58:31;225
direction;2018-09-02 20:02:31;225
direction;2018-09-02 20:08:31;135
direction;2018-09-02 20:12:31;135
direction;2018-09-02 20:16:31;135
direction;2018-09-02 20:20:31;135
direction;2018-09-02 20:24:31;135
direction;2018-09-02 20:28:31;135
direction;2018-09-02 20:32:31;270
direction;2018-09-02 20:38:31;180
direction;2018-09-02 20:42:31;225
direction;2018-09-02 20:48:31;270
direction;2018-09-02 20:52:31;180
direction;2018-09-02 20:58:31;270
direction;2018-09-02 21:04:31;270
direction;2018-09-02 21:08:31;225
direction;2018-09-02 21:12:31;270
direction;2018-09-02 21:16:31;270
direction;2018-09-02 21:22:31;135
direction;2018-09-02 21:28:31;270
direction;2018-09-02 21:34:31;270
direction;2018-09-02 21:38:31;135
direction;2018-09-02 21:42:31;135
direction;2018-09-02 21:48:31;135
direction;2018-09-02 21:54:31;135
direction;2018-09-02 22:00:31;135
direction;2018-09-02 22:04:31;270
direction;2018-09-02 22:08:31;225
direction;2018-09-02 22:12:31;270
direction;2018-09-02 22:16:31;270
direction;2018-09-02 22:22:31;90
direction;2018-09-02 22:28:31;135
direction;2018-09-02 22:34:31;135
direction;2018-09-02 22:38:31;135
direction;2018-09-02 22:44:31;135
direction;2018-09-02 22:50:31;135
direction;2018-09-02 22:56:31;180
direction;2018-09-02 23:00:31;135
direction;2018-09-02 23:04:31;180
direction;2018-09-02 23:10:31;135
