"time","conc","wdir","wspeed","minute","hour","dow","wos"
2018-09-02 01:15:00,0.56525,270,0,75,1,"Sunday","1"
2018-09-02 01:20:00,0.66225,135,0.0399999991059,80,1,"Sunday","1"
2018-09-02 01:25:00,0.5255,270,0.019999999553,85,1,"Sunday","1"
2018-09-02 01:30:00,0.5405,270,0.360000014305,90,1,"Sunday","1"
2018-09-02 01:35:00,0.476,90,0.0399999991059,95,1,"Sunday","1"
2018-09-02 01:40:00,0.456,135,0.140000000596,100,1,"Sunday","1"
2018-09-02 01:45:00,0.475,270,0.40000000596,105,1,"Sunday","1"
2018-09-02 01:50:00,0.47925,135,0.0399999991059,110,1,"Sunday","1"
2018-09-02 01:55:00,0.47075,135,0.019999999553,115,1,"Sunday","1"
2018-09-02 02:00:00,0.4555,135,0.019999999553,120,2,"Sunday","1"
2018-09-02 02:05:00,0.45725,270,0,125,2,"Sunday","1"
2018-09-02 02:10:00,0.46675,135,0,130,2,"Sunday","1"
2018-09-02 02:15:00,0.4865,135,0.01999999955295,135,2,"Sunday","1"
2018-09-02 02:20:00,0.51475,135,0.0399999991059,140,2,"Sunday","1"
2018-09-02 02:25:00,0.50525,135,0.019999999553,145,2,"Sunday","1"
2018-09-02 02:30:00,0.498,135,0.019999999553,150,2,"Sunday","1"
2018-09-02 02:35:00,0.512,135,0,155,2,"Sunday","1"
2018-09-02 02:40:00,0.49925,135,0.0599999986589,160,2,"Sunday","1"
2018-09-02 02:45:00,0.464,135,0,165,2,"Sunday","1"
2018-09-02 02:50:00,0.4925,NA,NA,170,2,"Sunday","1"
2018-09-02 02:55:00,0.45825,135,0,175,2,"Sunday","1"
2018-09-02 03:00:00,0.47925,135,0,180,3,"Sunday","1"
2018-09-02 03:05:00,0.49825,135,0,185,3,"Sunday","1"
2018-09-02 03:10:00,0.54,NA,NA,190,3,"Sunday","1"
2018-09-02 03:15:00,0.4675,90,0.019999999553,195,3,"Sunday","1"
2018-09-02 03:20:00,0.42875,135,0.019999999553,200,3,"Sunday","1"
2018-09-02 03:25:00,0.4055,90,0.019999999553,205,3,"Sunday","1"
2018-09-02 03:30:00,0.40075,135,0,210,3,"Sunday","1"
2018-09-02 03:35:00,0.39725,45,0.019999999553,215,3,"Sunday","1"
2018-09-02 03:40:00,0.38775,90,0.159999996424,220,3,"Sunday","1"
2018-09-02 03:45:00,0.4312,270,0.0599999986589,225,3,"Sunday","1"
2018-09-02 03:50:00,0.4135,135,0.740000009537,230,3,"Sunday","1"
2018-09-02 03:55:00,0.39325,135,0,235,3,"Sunday","1"
2018-09-02 04:00:00,0.425,90,0,240,4,"Sunday","1"
2018-09-02 04:05:00,0.454,135,0.0599999986589,245,4,"Sunday","1"
2018-09-02 04:10:00,0.422,90,0.019999999553,250,4,"Sunday","1"
2018-09-02 04:15:00,0.4165,90,0,255,4,"Sunday","1"
2018-09-02 04:20:00,0.4414,135,0.0799999982119,260,4,"Sunday","1"
2018-09-02 04:25:00,0.4835,135,0,265,4,"Sunday","1"
2018-09-02 04:30:00,0.45625,135,0.180000007153,270,4,"Sunday","1"
2018-09-02 04:35:00,0.44025,135,0.019999999553,275,4,"Sunday","1"
2018-09-02 04:40:00,0.4525,135,0.0399999991059,280,4,"Sunday","1"
2018-09-02 04:45:00,0.53225,270,0.140000000596,285,4,"Sunday","1"
2018-09-02 04:50:00,0.60175,135,0.239999994636,290,4,"Sunday","1"
2018-09-02 04:55:00,0.5492,90,0.0799999982119,295,4,"Sunday","1"
2018-09-02 05:00:00,0.453,135,0.0599999986589,300,5,"Sunday","1"
2018-09-02 05:05:00,0.48175,135,0.259999990463,305,5,"Sunday","1"
2018-09-02 05:10:00,0.48225,135,0.0599999986589,310,5,"Sunday","1"
2018-09-02 05:15:00,0.4795,270,0.519999980927,315,5,"Sunday","1"
2018-09-02 05:20:00,0.42925,270,0.419999986887,320,5,"Sunday","1"
2018-09-02 05:25:00,0.4864,225,0.40000000596,325,5,"Sunday","1"
